Placa Ikusi,Categoría,Serial,Fecha de Compra,Meses Garantía,Años Depreciación,PRECIO COMPRA,Hostname,Marca,Modelo
IT-0001,Laptops,SN-YWQPSP,2023-02-15,12,3,3500000,NBCO0001,Lenovo,ThinkPad T14
IT-0002,Monitores,SN-PUW3AN,2023-03-15,12,3,800000,,Dell,UltraSharp 24
IT-0003,Celulares,SN-E10I87,2023-04-15,12,3,4500000,,Apple,iPhone 13
IT-0004,Laptops,SN-WN18MM,2023-05-15,12,3,3500000,NBCO0002,Lenovo,ThinkPad T14
IT-0005,Monitores,SN-RJZGO3,2023-06-15,12,3,800000,,Dell,UltraSharp 24
IT-0006,Celulares,SN-V62FY8,2023-07-15,12,3,4500000,,Apple,iPhone 13
IT-0007,Laptops,SN-7U96T9,2023-08-15,12,3,3500000,NBCO0003,Lenovo,ThinkPad T14
IT-0008,Monitores,SN-4K6GJK,2023-09-15,12,3,800000,,Dell,UltraSharp 24
IT-0009,Celulares,SN-RWBQ7R,2023-10-15,12,3,4500000,,Apple,iPhone 13
IT-0010,Laptops,SN-EJQAGA,2023-11-15,12,3,3500000,NBCO0004,Lenovo,ThinkPad T14
IT-0011,Monitores,SN-G3PWCV,2023-12-15,12,3,800000,,Dell,UltraSharp 24
IT-0012,Celulares,SN-RVJKVG,2023-01-15,12,3,4500000,,Apple,iPhone 13
IT-0013,Laptops,SN-MIXRDX,2023-02-15,12,3,3500000,NBCO0005,Lenovo,ThinkPad T14
IT-0014,Monitores,SN-OZ6LJ3,2023-03-15,12,3,800000,,Dell,UltraSharp 24
IT-0015,Celulares,SN-KDOM5B,2023-04-15,12,3,4500000,,Apple,iPhone 13
IT-0016,Laptops,SN-724KA2,2023-05-15,12,3,3500000,NBCO0006,Lenovo,ThinkPad T14
IT-0017,Monitores,SN-RN53I8,2023-06-15,12,3,800000,,Dell,UltraSharp 24
IT-0018,Celulares,SN-LFCJL6,2023-07-15,12,3,4500000,,Apple,iPhone 13
IT-0019,Laptops,SN-287SBH,2023-08-15,12,3,3500000,NBCO0007,Lenovo,ThinkPad T14
IT-0020,Monitores,SN-4T3BR7,2023-09-15,12,3,800000,,Dell,UltraSharp 24
IT-0021,Celulares,SN-4X8D2R,2023-10-15,12,3,4500000,,Apple,iPhone 13
IT-0022,Laptops,SN-NPHHWA,2023-11-15,12,3,3500000,NBCO0008,Lenovo,ThinkPad T14
IT-0023,Monitores,SN-8LJXTR,2023-12-15,12,3,800000,,Dell,UltraSharp 24
IT-0024,Celulares,SN-LY6IU5,2023-01-15,12,3,4500000,,Apple,iPhone 13
IT-0025,Laptops,SN-3D550Q,2023-02-15,12,3,3500000,NBCO0009,Lenovo,ThinkPad T14
IT-0026,Monitores,SN-Y561SY,2023-03-15,12,3,800000,,Dell,UltraSharp 24
IT-0027,Celulares,SN-AXMZBO,2023-04-15,12,3,4500000,,Apple,iPhone 13
IT-0028,Laptops,SN-2TW42L,2023-05-15,12,3,3500000,NBCO0010,Lenovo,ThinkPad T14
IT-0029,Monitores,SN-KTSCCG,2023-06-15,12,3,800000,,Dell,UltraSharp 24
IT-0030,Celulares,SN-VXWIBN,2023-07-15,12,3,4500000,,Apple,iPhone 13
